ID,recipient_ID,title,message,type,priority,isRead,readAt,isArchived,archivedAt,isDismissed,dismissedAt,project_ID,task_ID,actor_ID,createdAt,createdBy,modifiedAt,modifiedBy
NOTIF001,USER002,New task assigned,"You have been assigned TASK001 "Design homepage" in PROJ001 (Website Redesign).",INFO,HIGH,true,,false,,false,,PROJ001,TASK001,USER001,2025-06-01T09:05:00Z,system,2025-06-01T09:05:00Z,system
NOTIF002,USER003,Task started,"TASK002 "Build login" is now in progress in PROJ001.",INFO,NORMAL,false,,false,,false,,PROJ001,TASK002,USER001,2025-06-01T10:05:00Z,system,2025-06-01T10:05:00Z,system
NOTIF003,USER004,Project update,"PROJ002 "Mobile App" progress updated to 50%.",INFO,NORMAL,true,2025-06-02T12:10:00Z,false,,false,,PROJ002,,USER003,2025-06-02T10:15:00Z,system,2025-06-02T12:10:00Z,system
NOTIF004,USER005,Project moved to planning,"PROJ006 "AI Module" is in planning and ready for task breakdown.",INFO,NORMAL,false,,false,,false,,PROJ006,,USER001,2025-06-06T10:10:00Z,system,2025-06-06T10:10:00Z,system
NOTIF005,USER006,Task completed,"TASK006 "Create wireframe" was marked completed in PROJ003.",SUCCESS,NORMAL,true,2025-06-06T17:10:00Z,false,,false,,PROJ003,TASK006,USER005,2025-06-06T17:02:00Z,system,2025-06-06T17:10:00Z,system
NOTIF006,USER007,Security review needed,"TASK010 "Security scan" moved to review in PROJ009. Please validate findings.",WARNING,HIGH,false,,false,,false,,PROJ009,TASK010,USER001,2025-06-10T15:10:00Z,system,2025-06-10T15:10:00Z,system
NOTIF007,USER001,Member became inactive,"Mark Johnson (USER003) is inactive and may block TASK002 progress.",WARNING,NORMAL,false,,false,,false,,PROJ002,,USER003,2025-06-03T13:25:00Z,system,2025-06-03T13:25:00Z,system
NOTIF008,USER010,Task due soon,"TASK007 "Client review" is due on 2025-08-18 for PROJ005.",INFO,NORMAL,false,,false,,false,,PROJ005,TASK007,USER005,2025-06-08T09:05:00Z,system,2025-06-08T09:05:00Z,system
NOTIF009,USER002,Archived task notice,"TASK008 "Optimize DB" is archived in PROJ006.",INFO,LOW,true,2025-06-10T11:05:00Z,true,2025-06-10T11:06:00Z,false,,PROJ006,TASK008,USER001,2025-06-10T11:02:00Z,system,2025-06-10T11:06:00Z,system
NOTIF010,USER008,DevOps milestone,"PROJ004 "DevOps Setup" reached 60% progress.",SUCCESS,NORMAL,false,,false,,false,,PROJ004,,USER007,2025-06-04T10:05:00Z,system,2025-06-04T10:05:00Z,system
NOTIF011,USER009,Role updated,"Your role for PROJ005 is set to DESIGNER.",INFO,NORMAL,true,2025-06-09T08:35:00Z,false,,false,,PROJ005,,USER005,2025-06-09T08:32:00Z,system,2025-06-09T08:35:00Z,system
NOTIF012,USER011,New project created,"PROJ006 "AI Module" created and assigned to you as manager.",SUCCESS,HIGH,false,,false,,false,,PROJ006,,USER001,2025-06-11T10:01:00Z,system,2025-06-11T10:01:00Z,system
NOTIF013,USER012,New project created,"PROJ007 "Ecommerce Site" created and assigned to you as manager.",SUCCESS,HIGH,false,,false,,false,,PROJ007,,USER001,2025-06-11T10:06:00Z,system,2025-06-11T10:06:00Z,system
NOTIF014,USER013,Welcome to project,"You were onboarded to PROJ008 "Reporting Tool" as DEVELOPER.",SUCCESS,NORMAL,false,,false,,false,,PROJ008,,USER005,2025-06-11T10:12:00Z,system,2025-06-11T10:12:00Z,system
NOTIF015,USER014,Offboarded to bench,"You were offboarded from your project and moved to bench (free pool).",WARNING,NORMAL,false,,false,,false,,,,USER001,2025-06-15T09:01:00Z,system,2025-06-15T09:01:00Z,system
NOTIF016,USER015,Offboarded to bench,"You were offboarded from your project and moved to bench (free pool).",WARNING,NORMAL,false,,false,,false,,,,USER001,2025-06-15T09:06:00Z,system,2025-06-15T09:06:00Z,system
NOTIF017,USER016,Offboarded to bench,"You were offboarded from your project and moved to bench (free pool).",WARNING,NORMAL,false,,false,,false,,,,USER001,2025-06-15T09:11:00Z,system,2025-06-15T09:11:00Z,system
NOTIF018,USER017,Offboarded to bench,"You were offboarded from your project and moved to bench (free pool).",WARNING,NORMAL,false,,false,,false,,,,USER001,2025-06-15T09:16:00Z,system,2025-06-15T09:16:00Z,system  